squad,context,quetion,answer
104,"I n   t h e   s t o r m ,   t h e   t r e e   f e l l   d o w n   a n d   c r a s h e d   t h r o u g h   t h e   r o o f   o f   m y   h o u s e .   N o w ,   I   h a v e   t o   g e t   i t   r e m o v e d .",W h a t   h a s   t o   b e   r e m o v e d ?   t r e e   o r   r o o f ?,t r e e
105,"I n   t h e   s t o r m ,   t h e   t r e e   f e l l   d o w n   a n d   c r a s h e d   t h r o u g h   t h e   r o o f   o f   m y   h o u s e .   N o w ,   I   h a v e   t o   g e t   i t   r e p a i r e d .",W h a t   h a s   t o   b e   r e p a i r e d ?   t r e e   o r   r o o f ?,r o o f
106,T h e   c u s t o m e r   w a l k e d   i n t o   t h e   b a n k   a n d   s t a b b e d   o n e   o f   t h e   t e l l e r s .   H e   w a s   i m m e d i a t e l y   t a k e n   t o   t h e   e m e r g e n c y   r o o m .,W h o   w a s   t a k e n   t o   t h e   e m e r g e n c y   r o o m ?   t e l l e r   o r   c u s t o m e r ?,t e l l e r
107,T h e   c u s t o m e r   w a l k e d   i n t o   t h e   b a n k   a n d   s t a b b e d   o n e   o f   t h e   t e l l e r s .   H e   w a s   i m m e d i a t e l y   t a k e n   t o   t h e   p o l i c e   s t a t i o n .,W h o   w a s   t a k e n   t o   t h e   p o l i c e   s t a t i o n ?   t e l l e r   o r   c u s t o m e r ?,c u s t o m e r
108,J o h n   w a s   d o i n g   r e s e a r c h   i n   t h e   l i b r a r y   w h e n   h e   h e a r d   a   h u m m e r .   H e   w a s   v e r y   a n n o y e d .,W h o   w a s   a n n o y e d ?   J o h n   o r   h u m m e r ?,J o h n
109,J o h n   w a s   d o i n g   r e s e a r c h   i n   t h e   l i b r a r y   w h e n   h e   h e a r d   a   h u m m e r .   H e   w a s   v e r y   a n n o y i n g .,W h o   w a s   a n n o y i n g ?   J o h n   o r   h u m m e r ?,h u m m e r
110,J o h n   w a s   j o g g i n g   t h r o u g h   t h e   p a r k   w h e n   h e   s a w   a   j u g g l e r   j u g g l i n g   w a t e r m e l o n s .   H e   w a s   v e r y   i m p r e s s e d .,W h o   w a s   i m p r e s s e d ?   J o h n   o r   j u g g l e r ?,J o h n
111,J o h n   w a s   j o g g i n g   t h r o u g h   t h e   p a r k   w h e n   h e   s a w   a   j u g g l e r   j u g g l i n g   w a t e r m e l o n s .   H e   w a s   v e r y   i m p r e s s i v e .,W h o   w a s   i m p r e s s i v e ?   J o h n   o r   j u g g l e r ?,j u g g l e r
112,B o b   c o l l a p s e d   o n   t h e   s i d e w a l k .   S o o n   h e   s a w   C a r l   c o m i n g   t o   h e l p .   H e   w a s   v e r y   i l l .,W h o   w a s   i l l ?   B o b   o r   C a r l ?,B o b
113,B o b   c o l l a p s e d   o n   t h e   s i d e w a l k .   S o o n   h e   s a w   C a r l   c o m i n g   t o   h e l p .   H e   w a s   v e r y   c o n c e r n e d .,W h o   w a s   c o n c e r n e d ?   B o b   o r   C a r l ?,C a r l
114,"M a r k   t o l d   P e t e   m a n y   l i e s   a b o u t   h i m s e l f ,   w h i c h   P e t e   i n c l u d e d   i n   h i s   b o o k .   H e   s h o u l d   h a v e   b e e n   m o r e   t r u t h f u l .",W h o   s h o u l d   h a v e   b e e n   m o r e   t r u t h f u l ?   M a r k   o r   P e t e ?,M a r k
115,"M a r k   t o l d   P e t e   m a n y   l i e s   a b o u t   h i m s e l f ,   w h i c h   P e t e   i n c l u d e d   i n   h i s   b o o k .   H e   s h o u l d   h a v e   b e e n   m o r e   s k e p t i c a l .",W h o   s h o u l d   h a v e   b e e n   m o r e   s k e p t i c a l ?   M a r k   o r   P e t e ?,P e t e
116,J o e   h a s   s o l d   h i s   h o u s e   a n d   b o u g h t   a n   a p a r t m e n t   a   f e w   m i l e s   a w a y .   H e   w i l l   b e   m o v i n g   o u t   o f   i t   o n   T h u r s d a y .,W h a t   w i l l   J o e   b e   m o v i n g   o u t   o f ?   h o u s e   o r   a p a r t m e n t ?,h o u s e
117,J o e   h a s   s o l d   h i s   h o u s e   a n d   b o u g h t   a n   a p a r t m e n t   a   f e w   m i l e s   a w a y .   H e   w i l l   b e   m o v i n g   i n t o   i t   o n   T h u r s d a y .,W h a t   w i l l   J o e   b e   m o v i n g   i n t o ?   h o u s e   o r   a p a r t m e n t ?,a p a r t m e n t
118,M a n y   p e o p l e   s t a r t   t o   r e a d   P a u l ' s   b o o k s   a n d   c a n ' t   p u t   t h e m   d o w n .   T h e y   a r e   g r i p p e d   b e c a u s e   P a u l   w r i t e s   s o   w e l l .,W h o   o r   w h a t   a r e   g r i p p e d ?   p e o p l e   o r   b o o k s ?,p e o p l e
119,M a n y   p e o p l e   s t a r t   t o   r e a d   P a u l ' s   b o o k s   a n d   c a n ' t   p u t   t h e m   d o w n .   T h e y   a r e   p o p u l a r   b e c a u s e   P a u l   w r i t e s   s o   w e l l .,W h o   o r   w h a t   a r e   p o p u l a r ?   p e o p l e   o r   b o o k s ?,b o o k s
120,"S a m   p u l l e d   u p   a   c h a i r   t o   t h e   p i a n o ,   b u t   i t   w a s   b r o k e n ,   s o   h e   h a d   t o   s t a n d   i n s t e a d .",W h a t   w a s   b r o k e n ?   c h a i r   o r   p i a n o ?,c h a i r
121,"S a m   p u l l e d   u p   a   c h a i r   t o   t h e   p i a n o ,   b u t   i t   w a s   b r o k e n ,   s o   h e   h a d   t o   s i n g   i n s t e a d .",W h a t   w a s   b r o k e n ?   c h a i r   o r   p i a n o ?,p i a n o
122,"S i n c e   i t   w a s   r a i n i n g ,   I   c a r r i e d   t h e   n e w s p a p e r   o v e r   t h e   b a c k p a c k   t o   k e e p   i t   d r y .",W h a t   w a s   I   t r y i n g   t o   k e e p   d r y ?   b a c k p a c k   o r   n e w s p a p e r ?,b a c k p a c k
123,"S i n c e   i t   w a s   r a i n i n g ,   I   c a r r i e d   t h e   n e w s p a p e r   i n   t h e   b a c k p a c k   t o   k e e p   i t   d r y .",W h a t   w a s   I   t r y i n g   t o   k e e p   d r y ?   b a c k p a c k   o r   n e w s p a p e r ?,n e w s p a p e r
124,S a r a   b o r r o w e d   t h e   b o o k   f r o m   t h e   l i b r a r y   b e c a u s e   s h e   n e e d s   i t   f o r   a n   a r t i c l e   s h e   i s   w o r k i n g   o n .   S h e   r e a d s   i t   w h e n   s h e   g e t s   h o m e   f r o m   w o r k .,W h a t   d o e s   S a r a   r e a d   w h e n   s h e   g e t s   h o m e   f r o m   w o r k ?   b o o k   o r   a r t i c l e ?,b o o k
125,S a r a   b o r r o w e d   t h e   b o o k   f r o m   t h e   l i b r a r y   b e c a u s e   s h e   n e e d s   i t   f o r   a n   a r t i c l e   s h e   i s   w o r k i n g   o n .   S h e   w r i t e s   i t   w h e n   s h e   g e t s   h o m e   f r o m   w o r k .,W h a t   d o e s   S a r a   w r i t e   w h e n   s h e   g e t s   h o m e   f r o m   w o r k ?   b o o k   o r   a r t i c l e ?,a r t i c l e
126,"T h i s   m o r n i n g ,   J o e y   b u i l t   a   s a n d   c a s t l e   o n   t h e   b e a c h ,   a n d   p u t   a   t o y   f l a g   i n   t h e   h i g h e s t   t o w e r ,   b u t   t h i s   a f t e r n o o n   a   b r e e z e   k n o c k e d   i t   d o w n .",W h a t   d i d   t h e   b r e e z e   k n o c k   d o w n ?   f l a g   o r   c a s t l e ?,f l a g
127,"T h i s   m o r n i n g ,   J o e y   b u i l t   a   s a n d   c a s t l e   o n   t h e   b e a c h ,   a n d   p u t   a   t o y   f l a g   i n   t h e   h i g h e s t   t o w e r ,   b u t   t h i s   a f t e r n o o n   t h e   t i d e   k n o c k e d   i t   d o w n .",W h a t   d i d   t h e   t i d e   k n o c k   d o w n ?   f l a g   o r   c a s t l e ?,c a s t l e
128,"J a n e   k n o c k e d   o n   S u s a n ' s   d o o r ,   b u t   t h e r e   w a s   n o   a n s w e r .   S h e   w a s   o u t .",W h o   w a s   o u t ?   S u s a n   o r   J a n e ?,S u s a n
129,"J a n e   k n o c k e d   o n   S u s a n ' s   d o o r ,   b u t   t h e r e   w a s   n o   a n s w e r .   S h e   w a s   d i s a p p o i n t e d .",W h o   w a s   d i s a p p o i n t e d ?   S u s a n   o r   J a n e ?,J a n e
130,"S a m   t o o k   F r e n c h   c l a s s e s   f r o m   A d a m ,   b e c a u s e   h e   w a s   e a g e r   t o   s p e a k   i t   f l u e n t l y .",W h o   w a s   e a g e r   t o   s p e a k   F r e n c h   f l u e n t l y ?   S a m   o r   A d a m ?,S a m
131,"S a m   t o o k   F r e n c h   c l a s s e s   f r o m   A d a m ,   b e c a u s e   h e   w a s   k n o w n   t o   s p e a k   i t   f l u e n t l y .",W h o   w a s   k n o w n   t o   s p e a k   F r e n c h   f l u e n t l y ?   S a m   o r   A d a m ?,A d a m
132,"T h e   p a t h   t o   t h e   l a k e   w a s   b l o c k e d ,   s o   w e   c o u l d n ' t   r e a c h   i t .",W h a t   c o u l d n ' t   w e   r e a c h ?   l a k e   o r   p a t h ?,l a k e
133,"T h e   p a t h   t o   t h e   l a k e   w a s   b l o c k e d ,   s o   w e   c o u l d n ' t   u s e   i t .",W h a t   c o u l d n ' t   w e   u s e ?   l a k e   o r   p a t h ?,p a t h
134,"T h e   s u n   w a s   c o v e r e d   b y   a   t h i c k   c l o u d   a l l   m o r n i n g ,   b u t   l u c k i l y ,   b y   t h e   t i m e   t h e   p i c n i c   s t a r t e d ,   i t   w a s   g o n e .",W h a t   w a s   g o n e ?   c l o u d   o r   s u n ?,c l o u d
135,"T h e   s u n   w a s   c o v e r e d   b y   a   t h i c k   c l o u d   a l l   m o r n i n g ,   b u t   l u c k i l y ,   b y   t h e   t i m e   t h e   p i c n i c   s t a r t e d ,   i t   w a s   o u t .",W h a t   w a s   o u t ?   c l o u d   o r   s u n ?,s u n
136,"W e   w e n t   t o   t h e   l a k e ,   b e c a u s e   a   s h a r k   h a d   b e e n   s e e n   a t   t h e   b e a c h ,   s o   i t   w a s   a   d a n g e r o u s   p l a c e   t o   s w i m .",W h i c h   w a s   a   d a n g e r o u s   p l a c e   t o   s w i m ?   b e a c h   o r   l a k e ?,b e a c h
137,"W e   w e n t   t o   t h e   l a k e ,   b e c a u s e   a   s h a r k   h a d   b e e n   s e e n   a t   t h e   b e a c h ,   s o   i t   w a s   a   s a f e r   p l a c e   t o   s w i m .",W h i c h   w a s   a   s a f e r   p l a c e   t o   s w i m ?   b e a c h   o r   l a k e ?,l a k e
138,"S a m   t r i e d   t o   p a i n t   a   p i c t u r e   o f   s h e p h e r d s   w i t h   s h e e p ,   b u t   t h e y   e n d e d   u p   l o o k i n g   m o r e   l i k e   d o g s .",W h a t   l o o k e d   l i k e   d o g s ?   s h e e p   o r   s h e p h e r d s ?,s h e e p
139,"S a m   t r i e d   t o   p a i n t   a   p i c t u r e   o f   s h e p h e r d s   w i t h   s h e e p ,   b u t   t h e y   e n d e d   u p   l o o k i n g   m o r e   l i k e   g o l f e r s .",W h a t   l o o k e d   l i k e   g o l f e r s ?   s h e e p   o r   s h e p h e r d s ?,s h e p h e r d s
140,"M a r y   t u c k e d   h e r   d a u g h t e r   A n n e   i n t o   b e d ,   s o   t h a t   s h e   c o u l d   s l e e p .",W h o   i s   g o i n g   t o   s l e e p ?   A n n e   o r   M a r y ?,A n n e
141,"M a r y   t u c k e d   h e r   d a u g h t e r   A n n e   i n t o   b e d ,   s o   t h a t   s h e   c o u l d   w o r k .",W h o   i s   g o i n g   t o   w o r k ?   A n n e   o r   M a r y ?,M a r y
142,"T h e   c o u p l e   h a d   v e r y   w a r m   d o w n   c o a t s ,   b u t   t h e y   w e r e   n o t   e n o u g h   f o r   t h e   c o l d   i n   A l a s k a .",W h o   o r   w h a t   w e r e   n o t   e n o u g h   f o r   t h e   c o l d ?   c o a t s   o r   c o u p l e ?,c o a t s
143,"T h e   c o u p l e   h a d   v e r y   w a r m   d o w n   c o a t s ,   b u t   t h e y   w e r e   n o t   p r e p a r e d   f o r   t h e   c o l d   i n   A l a s k a .",W h o   o r   w h a t   w e r e   n o t   p r e p a r e d   f o r   t h e   c o l d ?   c o a t s   o r   c o u p l e ?,c o u p l e
144,T h o m s o n   v i s i t e d   C o o p e r ' s   g r a v e   i n   1 7 6 5 .   A t   t h a t   d a t e   h e   h a d   b e e n   d e a d   f o r   f i v e   y e a r s .,W h o   h a d   b e e n   d e a d   f o r   f i v e   y e a r s ?   C o o p e r   o r   T h o m s o n ?,C o o p e r
145,T h o m s o n   v i s i t e d   C o o p e r ' s   g r a v e   i n   1 7 6 5 .   A t   t h a t   d a t e   h e   h a d   b e e n   t r a v e l l i n g   f o r   f i v e   y e a r s .,W h o   h a d   b e e n   t r a v e l l i n g   f o r   f i v e   y e a r s ?   C o o p e r   o r   T h o m s o n ?,T h o m s o n
146,"J a c k s o n   w a s   g r e a t l y   i n f l u e n c e d   b y   A r n o l d ,   t h o u g h   h e   l i v e d   t w o   c e n t u r i e s   e a r l i e r .",W h o   l i v e d   e a r l i e r ?   A r n o l d   o r   J a c k s o n ?,A r n o l d
147,"J a c k s o n   w a s   g r e a t l y   i n f l u e n c e d   b y   A r n o l d ,   t h o u g h   h e   l i v e d   t w o   c e n t u r i e s   l a t e r .",W h o   l i v e d   l a t e r ?   A r n o l d   o r   J a c k s o n ?,J a c k s o n
148,I   c a n ' t   c u t   t h a t   t r e e   d o w n   w i t h   t h a t   a x e ;   i t   i s   t o o   t h i c k .,W h a t   i s   t o o   t h i c k ?   t r e e   o r   a x e ?,t r e e
149,I   c a n ' t   c u t   t h a t   t r e e   d o w n   w i t h   t h a t   a x e ;   i t   i s   t o o   s m a l l .,W h a t   i s   t o o   s m a l l ?   t r e e   o r   a x e ?,a x e
150,T h e   f o x e s   a r e   g e t t i n g   i n   a t   n i g h t   a n d   a t t a c k i n g   t h e   c h i c k e n s .   I   s h a l l   h a v e   t o   g u a r d   t h e m .,W h a t   d o   I   h a v e   t o   g u a r d ?   c h i c k e n s   o r   f o x e s ?,c h i c k e n s
151,T h e   f o x e s   a r e   g e t t i n g   i n   a t   n i g h t   a n d   a t t a c k i n g   t h e   c h i c k e n s .   I   s h a l l   h a v e   t o   k i l l   t h e m .,W h a t   d o   I   h a v e   t o   k i l l ?   c h i c k e n s   o r   f o x e s ?,f o x e s
152,T h e   f o x e s   a r e   g e t t i n g   i n   a t   n i g h t   a n d   a t t a c k i n g   t h e   c h i c k e n s .   T h e y   h a v e   g o t t e n   v e r y   b o l d .,W h a t   h a s   g o t t e n   b o l d ?   f o x e s   o r   c h i c k e n s ?,f o x e s
153,T h e   f o x e s   a r e   g e t t i n g   i n   a t   n i g h t   a n d   a t t a c k i n g   t h e   c h i c k e n s .   T h e y   h a v e   g o t t e n   v e r y   n e r v o u s .,W h a t   h a s   g o t t e n   n e r v o u s ?   f o x e s   o r   c h i c k e n s ?,c h i c k e n s
154,"F r e d   c o v e r e d   h i s   e y e s   w i t h   h i s   h a n d s ,   b e c a u s e   t h e   w i n d   w a s   b l o w i n g   s a n d   a r o u n d .   H e   o p e n e d   t h e m   w h e n   t h e   w i n d   s t o p p e d .",W h a t   d i d   F r e d   o p e n ?   e y e s   o r   h a n d s ?,e y e s
155,"F r e d   c o v e r e d   h i s   e y e s   w i t h   h i s   h a n d s ,   b e c a u s e   t h e   w i n d   w a s   b l o w i n g   s a n d   a r o u n d .   H e   l o w e r e d   t h e m   w h e n   t h e   w i n d   s t o p p e d .",W h a t   d i d   F r e d   l o w e r ?   e y e s   o r   h a n d s ?,h a n d s
156,F r e d   w a t c h e d   T V   w h i l e   G e o r g e   w e n t   o u t   t o   b u y   g r o c e r i e s .   A f t e r   a n   h o u r   h e   g o t   u p .,W h o   g o t   u p ?   F r e d   o r   G e o r g e ?,F r e d
157,F r e d   w a t c h e d   T V   w h i l e   G e o r g e   w e n t   o u t   t o   b u y   g r o c e r i e s .   A f t e r   a n   h o u r   h e   g o t   b a c k .,W h o   g o t   b a c k ?   F r e d   o r   G e o r g e ?,G e o r g e
158,"F r e d   w a s   s u p p o s e d   t o   r u n   t h e   d i s h w a s h e r ,   b u t   h e   p u t   i t   o f f ,   b e c a u s e   h e   w a n t e d   t o   w a t c h   T V .   T h e   s h o w   t u r n e d   o u t   t o   b e   b o r i n g ,   s o   h e   c h a n g e d   h i s   m i n d   a n d   t u r n e d   i t   o n .",W h a t   d i d   F r e d   t u r n   o n ?   d i s h w a s h e r   o r   t e l e v i s i o n ?,d i s h w a s h e r
159,"F r e d   w a s   s u p p o s e d   t o   r u n   t h e   d i s h w a s h e r ,   b u t   h e   p u t   i t   o f f ,   b e c a u s e   h e   w a n t e d   t o   w a t c h   T V .   T h e   s h o w   t u r n e d   o u t   t o   b e   b o r i n g ,   s o   h e   c h a n g e d   h i s   m i n d   a n d   t u r n e d   i t   o f f .",W h a t   d i d   F r e d   t u r n   o f f ?   d i s h w a s h e r   o r   t e l e v i s i o n ?,t e l e v i s i o n
160,F r e d   i s   t h e   o n l y   m a n   s t i l l   a l i v e   w h o   r e m e m b e r s   m y   g r a n d f a t h e r .   H e   i s   a   r e m a r k a b l e   m a n .,W h o   i s   a   r e m a r k a b l e   m a n ?   F r e d   o r   g r a n d f a t h e r ?,F r e d
161,F r e d   i s   t h e   o n l y   m a n   s t i l l   a l i v e   w h o   r e m e m b e r s   m y   g r a n d f a t h e r .   H e   w a s   a   r e m a r k a b l e   m a n .,W h o   w a s   a   r e m a r k a b l e   m a n ?   F r e d   o r   g r a n d f a t h e r ?,g r a n d f a t h e r
162,"F r e d   i s   t h e   o n l y   m a n   a l i v e   w h o   s t i l l   r e m e m b e r s   m y   f a t h e r   a s   a n   i n f a n t .   W h e n   F r e d   f i r s t   s a w   m y   f a t h e r ,   h e   w a s   t w e l v e   y e a r s   o l d .",W h o   w a s   t w e l v e   y e a r s   o l d ?   F r e d   o r   f a t h e r ?,F r e d
163,"F r e d   i s   t h e   o n l y   m a n   a l i v e   w h o   s t i l l   r e m e m b e r s   m y   f a t h e r   a s   a n   i n f a n t .   W h e n   F r e d   f i r s t   s a w   m y   f a t h e r ,   h e   w a s   t w e l v e   m o n t h s   o l d .",W h o   w a s   t w e l v e   m o n t h s   o l d ?   F r e d   o r   f a t h e r ?,f a t h e r
164,"I n   J u l y ,   K a m t c h a t k a   d e c l a r e d   w a r   o n   Y a k u t s k .   S i n c e   Y a k u t s k ' s   a r m y   w a s   m u c h   b e t t e r   e q u i p p e d   a n d   t e n   t i m e s   l a r g e r ,   t h e y   w e r e   v i c t o r i o u s   w i t h i n   w e e k s .",W h o   w a s   v i c t o r i o u s   Y a k u t s k   o r   K a m c h a t k a ?,Y a k u t s k
165,"I n   J u l y ,   K a m t c h a t k a   d e c l a r e d   w a r   o n   Y a k u t s k .   S i n c e   Y a k u t s k ' s   a r m y   w a s   m u c h   b e t t e r   e q u i p p e d   a n d   t e n   t i m e s   l a r g e r ,   t h e y   w e r e   d e f e a t e d   w i t h i n   w e e k s .",W h o   w a s   d e f e a t e d   Y a k u t s k   o r   K a m c h a t k a ?,K a m c h a t k a
166,E l i z a b e t h   m o v e d   h e r   c o m p a n y   f r o m   S p a r t a   t o   T r o y   t o   s a v e   m o n e y   o n   t a x e s ;   t h e   t a x e s   a r e   m u c h   h i g h e r   t h e r e .,W h e r e   a r e   t h e   t a x e s   h i g h e r ?   S p a r t a   o r   T r o y ?,S p a r t a
167,E l i z a b e t h   m o v e d   h e r   c o m p a n y   f r o m   S p a r t a   t o   T r o y   t o   s a v e   m o n e y   o n   t a x e s ;   t h e   t a x e s   a r e   m u c h   l o w e r   t h e r e .,W h e r e   a r e   t h e   t a x e s   l o w e r ?   S p a r t a   o r   T r o y ?,T r o y
168,"E s t h e r   f i g u r e s   t h a t   s h e   w i l l   s a v e   s h i p p i n g   c o s t s   i f   s h e   b u i l d s   h e r   f a c t o r y   i n   S p r i n g f i e l d   i n s t e a d   o f   F r a n k l i n ,   b e c a u s e   m o s t   o f   h e r   c u s t o m e r s   l i v e   t h e r e .",I n   w h i c h   t o w n   d o   m o s t   o f   E s t h e r ' s   c u s t o m e r s   l i v e ?   S p r i n g f i e l d   o r   F r a n k l i n ?,S p r i n g f i e l d
169,"E s t h e r   f i g u r e s   t h a t   s h e   w i l l   s a v e   s h i p p i n g   c o s t s   i f   s h e   b u i l d s   h e r   f a c t o r y   i n   S p r i n g f i e l d   i n s t e a d   o f   F r a n k l i n ,   b e c a u s e   n o n e   o f   h e r   c u s t o m e r s   l i v e   t h e r e .",I n   w h i c h   t o w n   d o   n o n e   o f   E s t h e r ' s   c u s t o m e r s   l i v e ?   S p r i n g f i e l d   o r   F r a n k l i n ?,F r a n k l i n
170,"T h e r e   a r e   t o o   m a n y   d e e r   i n   t h e   p a r k ,   s o   t h e   p a r k   s e r v i c e   b r o u g h t   i n   a   s m a l l   p a c k   o f   w o l v e s .   T h e   p o p u l a t i o n   s h o u l d   i n c r e a s e   o v e r   t h e   n e x t   f e w   y e a r s .",W h i c h   p o p u l a t i o n   w i l l   i n c r e a s e ?   w o l v e s   o r   d e e r ?,w o l v e s
171,"T h e r e   a r e   t o o   m a n y   d e e r   i n   t h e   p a r k ,   s o   t h e   p a r k   s e r v i c e   b r o u g h t   i n   a   s m a l l   p a c k   o f   w o l v e s .   T h e   p o p u l a t i o n   s h o u l d   d e c r e a s e   o v e r   t h e   n e x t   f e w   y e a r s .",W h i c h   p o p u l a t i o n   w i l l   d e c r e a s e ?   w o l v e s   o r   d e e r ?,d e e r
172,"T h e   a r c h a e o l o g i s t s   h a v e   c o n c l u d e d   t h a t   n e a n d e r t h a l s   l i v e d   i n   L a p u t a   2 0 , 0 0 0   y e a r s   a g o .   T h e y   h u n t e d   f o r   d e e r   o n   t h e   r i v e r   b a n k s .",W h o   h u n t e d   f o r   d e e r ?   n e a n d e r t h a l s   o r   a r c h a e o l o g i s t s ?,n e a n d e r t h a l s
173,"T h e   a r c h a e o l o g i s t s   h a v e   c o n c l u d e d   t h a t   n e a n d e r t h a l s   l i v e d   i n   L a p u t a   2 0 , 0 0 0   y e a r s   a g o .   T h e y   h u n t e d   f o r   e v i d e n c e   o n   t h e   r i v e r   b a n k s .",W h o   h u n t e d   f o r   e v i d e n c e ?   n e a n d e r t h a l s   o r   a r c h a e o l o g i s t s ?,a r c h a e o l o g i s t s
174,T h e   s c i e n t i s t s   a r e   s t u d y i n g   t h r e e   s p e c i e s   o f   f i s h   t h a t   h a v e   r e c e n t l y   b e e n   f o u n d   l i v i n g   i n   t h e   I n d i a n   O c e a n .   T h e y   a p p e a r e d   t w o   y e a r s   a g o .,W h o   o r   w h a t   a p p e a r e d   t w o   y e a r s   a g o ?   f i s h   o r   s c i e n t i s t s ?,f i s h
175,T h e   s c i e n t i s t s   a r e   s t u d y i n g   t h r e e   s p e c i e s   o f   f i s h   t h a t   h a v e   r e c e n t l y   b e e n   f o u n d   l i v i n g   i n   t h e   I n d i a n   O c e a n .   T h e y   b e g a n   t w o   y e a r s   a g o .,W h o   o r   w h a t   b e g a n   t w o   y e a r s   a g o ?   f i s h   o r   s c i e n t i s t s ?,s c i e n t i s t s
176,"T h e   j o u r n a l i s t s   i n t e r v i e w e d   t h e   s t a r s   o f   t h e   n e w   m o v i e .   T h e y   w e r e   v e r y   c o o p e r a t i v e ,   s o   t h e   i n t e r v i e w   l a s t e d   f o r   a   l o n g   t i m e .",W h o   w a s   c o o p e r a t i v e ?   s t a r s   o r   j o u r n a l i s t s ?,s t a r s
177,"T h e   j o u r n a l i s t s   i n t e r v i e w e d   t h e   s t a r s   o f   t h e   n e w   m o v i e .   T h e y   w e r e   v e r y   p e r s i s t e n t ,   s o   t h e   i n t e r v i e w   l a s t e d   f o r   a   l o n g   t i m e .",W h o   w a s   p e r s i s t e n t ?   s t a r s   o r   j o u r n a l i s t s ?,j o u r n a l i s t s
178,T h e   p o l i c e   a r r e s t e d   a l l   o f   t h e   c r i m i n a l s .   T h e y   w e r e   t r y i n g   t o   r u n   t h e   d r u g   t r a d e   i n   t h e   n e i g h b o r h o o d .,W h o   w a s   t r y i n g   t o   r u n   t h e   d r u g   t r a d e ?   c r i m i n a l s   o r   p o l i c e ?,c r i m i n a l s
179,T h e   p o l i c e   a r r e s t e d   a l l   o f   t h e   c r i m i n a l s .   T h e y   w e r e   t r y i n g   t o   s t o p   t h e   d r u g   t r a d e   i n   t h e   n e i g h b o r h o o d .,W h o   w a s   t r y i n g   t o   s t o p   t h e   d r u g   t r a d e ?   c r i m i n a l s   o r   p o l i c e ?,p o l i c e
180,I   p u t   t h e   c a k e   a w a y   i n   t h e   r e f r i g e r a t o r .   I t   h a s   a   l o t   o f   b u t t e r   i n   i t .,W h a t   h a s   a   l o t   o f   b u t t e r ?   c a k e   o r   r e f r i g e r a t o r ?,c a k e
181,I   p u t   t h e   c a k e   a w a y   i n   t h e   r e f r i g e r a t o r .   I t   h a s   a   l o t   o f   l e f t o v e r s   i n   i t .,W h a t   h a s   a   l o t   o f   l e f t o v e r s ?   c a k e   o r   r e f r i g e r a t o r ?,r e f r i g e r a t o r
182,S a m   b r o k e   b o t h   h i s   a n k l e s   a n d   h e ' s   w a l k i n g   w i t h   c r u t c h e s .   B u t   a   m o n t h   o r   s o   f r o m   n o w   t h e y   s h o u l d   b e   b e t t e r .,W h a t   s h o u l d   b e   b e t t e r ?   a n k l e s   o r   c r u t c h e s ?,a n k l e s
183,S a m   b r o k e   b o t h   h i s   a n k l e s   a n d   h e ' s   w a l k i n g   w i t h   c r u t c h e s .   B u t   a   m o n t h   o r   s o   f r o m   n o w   t h e y   s h o u l d   b e   u n n e c e s s a r y .,W h a t   s h o u l d   b e   u n n e c e s s a r y ?   a n k l e s   o r   c r u t c h e s ?,c r u t c h e s
184,"W h e n   t h e   s p o n s o r s   o f   t h e   b i l l   g o t   t o   t h e   t o w n   h a l l ,   t h e y   w e r e   s u r p r i s e d   t o   f i n d   t h a t   t h e   r o o m   w a s   f u l l   o f   o p p o n e n t s .   T h e y   w e r e   v e r y   m u c h   i n   t h e   m a j o r i t y .",W h o   w e r e   i n   t h e   m a j o r i t y ?   o p p o n e n t s   o r   s p o n s o r s ?,o p p o n e n t s
185,"W h e n   t h e   s p o n s o r s   o f   t h e   b i l l   g o t   t o   t h e   t o w n   h a l l ,   t h e y   w e r e   s u r p r i s e d   t o   f i n d   t h a t   t h e   r o o m   w a s   f u l l   o f   o p p o n e n t s .   T h e y   w e r e   v e r y   m u c h   i n   t h e   m i n o r i t y .",W h o   w e r e   i n   t h e   m i n o r i t y ?   o p p o n e n t s   o r   s p o n s o r s ?,s p o n s o r s
186,"E v e r y o n e   r e a l l y   l o v e d   t h e   o a t m e a l   c o o k i e s ;   o n l y   a   f e w   p e o p l e   l i k e d   t h e   s n i c k e r d o o d l e   c o o k i e s .   N e x t   t i m e ,   w e   s h o u l d   m a k e   m o r e   o f   t h e m .","W h i c h   c o o k i e   s h o u l d   w e   m a k e   m o r e   o f ,   n e x t   t i m e ?   o a t m e a l   o r   s n i c k e r d o o d l e ?",o a t m e a l
187,"E v e r y o n e   r e a l l y   l o v e d   t h e   o a t m e a l   c o o k i e s ;   o n l y   a   f e w   p e o p l e   l i k e d   t h e   s n i c k e r d o o d l e   c o o k i e s .   N e x t   t i m e ,   w e   s h o u l d   m a k e   f e w e r   o f   t h e m .","W h i c h   c o o k i e   s h o u l d   w e   m a k e   f e w e r   o f ,   n e x t   t i m e ?   o a t m e a l   o r   s n i c k e r d o o d l e ?",s n i c k e r d o o d l e
188,"W e   h a d   h o p e d   t o   p l a c e   c o p i e s   o n   a l l   t h e   c h a i r s   i n   t h e   a u d i t o r i u m ,   b u t   t h e r e   w e r e   s i m p l y   n o t   e n o u g h   o f   t h e m .",T h e r e   a r e   t o o   m a n y   o f   w h a t ?   c h a i r s   o r   c o p i e s ?,c h a i r s
